,feature,shap,anwa,dataset,model,metric
0,Age,0.06990991186325743,0.15810593900481887,adult_1000,nn,accuracy
1,Education-Num,0.029015810691451798,0.10032102728731922,adult_1000,nn,accuracy
2,Capital Gain,0.17754658666224973,0.06179775280898849,adult_1000,nn,accuracy
3,Capital Loss,0.021125636641991904,0.015248796147672949,adult_1000,nn,accuracy
4,Hours per week,0.04708133993089132,0.024879614767254737,adult_1000,nn,accuracy
5,Workclass_0,0.010893146887703568,0.007223113964688124,adult_1000,nn,accuracy
6,Workclass_1,0.001247136294059899,0.00802568218298126,adult_1000,nn,accuracy
7,Workclass_2,0.004978844647060499,0.015248796147676512,adult_1000,nn,accuracy
8,Workclass_4,0.020556245675457323,0.008025682182984824,adult_1000,nn,accuracy
9,Workclass_5,0.005030827243286388,0.018459069020865096,adult_1000,nn,accuracy
10,Workclass_6,0.009765634058935506,0.0016051364365969648,adult_1000,nn,accuracy
11,Workclass_7,0.0032773529863274835,0.00401284109149063,adult_1000,nn,accuracy
12,Marital Status_0,0.009617940723573195,0.003210272873197494,adult_1000,nn,accuracy
13,Marital Status_1,0.0,1.7820594295749244e-15,adult_1000,nn,accuracy
14,Marital Status_2,0.07908923029408722,0.07784911717495993,adult_1000,nn,accuracy
15,Marital Status_3,0.0038563472691489705,0.017656500802564833,adult_1000,nn,accuracy
16,Marital Status_4,0.07162530180727623,0.06099518459069001,adult_1000,nn,accuracy
17,Marital Status_5,0.004922645032823741,0.008025682182984824,adult_1000,nn,accuracy
18,Marital Status_6,0.0004613852510570337,0.00802568218298839,adult_1000,nn,accuracy
19,Occupation_0,0.007943343057910446,0.0024077046548936654,adult_1000,nn,accuracy
20,Occupation_1,0.011719897791099658,0.00401284109149063,adult_1000,nn,accuracy
21,Occupation_10,0.016006985386792065,0.036918138041731975,adult_1000,nn,accuracy
22,Occupation_11,0.00017112471545448912,1.7820594295749244e-15,adult_1000,nn,accuracy
23,Occupation_12,0.005452105980219503,0.006420545746387859,adult_1000,nn,accuracy
24,Occupation_13,0.0004027385679794662,1.7820594295749244e-15,adult_1000,nn,accuracy
25,Occupation_14,0.00961177816965143,0.020064205457463843,adult_1000,nn,accuracy
26,Occupation_2,0.0,1.7820594295749244e-15,adult_1000,nn,accuracy
27,Occupation_3,0.011338033800430974,0.00882825040128509,adult_1000,nn,accuracy
28,Occupation_4,0.05489405819074714,0.0032102728731903656,adult_1000,nn,accuracy
29,Occupation_5,0.002399470292093273,0.004815409309794459,adult_1000,nn,accuracy
30,Occupation_6,0.005658421539132196,0.00802568218298126,adult_1000,nn,accuracy
31,Occupation_7,0.016672518514083298,0.02327447833065599,adult_1000,nn,accuracy
32,Occupation_8,0.022816193376902272,0.012841091492779283,adult_1000,nn,accuracy
33,Occupation_9,0.0,1.7820594295749244e-15,adult_1000,nn,accuracy
34,Relationship_0,0.042565495879498226,0.01605136436596965,adult_1000,nn,accuracy
35,Relationship_1,0.013917335127449767,0.04895666131621099,adult_1000,nn,accuracy
36,Relationship_2,0.0020270503373708195,0.00882825040128509,adult_1000,nn,accuracy
37,Relationship_3,0.03631377701356966,0.004815409309794459,adult_1000,nn,accuracy
38,Relationship_4,0.06316651721188662,0.044141252006418316,adult_1000,nn,accuracy
39,Relationship_5,0.013685641923591294,0.004815409309789112,adult_1000,nn,accuracy
40,Race_0,0.000671752791383442,0.0032102728731939296,adult_1000,nn,accuracy
41,Race_1,0.00048449423532372836,1.7820594295749244e-15,adult_1000,nn,accuracy
42,Race_2,0.02089413061003233,0.025682182985551437,adult_1000,nn,accuracy
43,Race_3,0.0007347400216877842,1.7820594295749244e-15,adult_1000,nn,accuracy
44,Race_4,0.013791377142451905,0.06902086677367662,adult_1000,nn,accuracy
45,Sex_0,0.04949180847982252,0.014446227929374465,adult_1000,nn,accuracy
46,Sex_1,0.007167885882796533,0.030497592295345897,adult_1000,nn,accuracy
0,Age,0.04499383821754375,0.1594306049822049,adult_2000,nn,accuracy
1,Education-Num,0.03321427572720709,0.10391459074733128,adult_2000,nn,accuracy
2,Capital Gain,0.19400976933551653,0.038078291814946055,adult_2000,nn,accuracy
3,Capital Loss,0.026489468756062794,0.03772241992882589,adult_2000,nn,accuracy
4,Hours per week,0.054163978020805276,0.0907473309608536,adult_2000,nn,accuracy
5,Workclass_0,0.00841274812623672,0.015658362989325148,adult_2000,nn,accuracy
6,Workclass_1,0.003208237544730899,0.02669039145907552,adult_2000,nn,accuracy
7,Workclass_2,0.002217985660280008,0.008540925266904482,adult_2000,nn,accuracy
8,Workclass_4,0.028437923439863413,0.03345195729537286,adult_2000,nn,accuracy
9,Workclass_5,0.012786372979351854,0.0024911032028458895,adult_2000,nn,accuracy
10,Workclass_6,0.006211661219599579,0.02277580071174107,adult_2000,nn,accuracy
11,Workclass_7,0.00018572444626984927,0.0028469750889692147,adult_2000,nn,accuracy
12,Workclass_8,2.874573489282297e-05,0.0,adult_2000,nn,accuracy
13,Marital Status_0,0.017114022690938986,0.003202846975090959,adult_2000,nn,accuracy
14,Marital Status_1,0.00030648699460637785,0.0,adult_2000,nn,accuracy
15,Marital Status_2,0.07934132054008303,0.0014234875444853975,adult_2000,nn,accuracy
16,Marital Status_3,0.0025254168484198786,0.007829181494660994,adult_2000,nn,accuracy
17,Marital Status_4,0.08745322491538306,0.05480427046263328,adult_2000,nn,accuracy
18,Marital Status_5,0.0020826965496306797,0.00498220640569494,adult_2000,nn,accuracy
19,Marital Status_6,0.0010578579486752275,0.0,adult_2000,nn,accuracy
20,Occupation_0,0.005258709074933142,0.011387900355870536,adult_2000,nn,accuracy
21,Occupation_1,0.024021110657577928,0.01245551601423577,adult_2000,nn,accuracy
22,Occupation_10,0.023487286499718225,0.03736654804270573,adult_2000,nn,accuracy
23,Occupation_11,0.0034449545243641294,0.016014234875443734,adult_2000,nn,accuracy
24,Occupation_12,0.0005587816703931421,0.006761565836297341,adult_2000,nn,accuracy
25,Occupation_13,0.0015373806368467672,0.004626334519574776,adult_2000,nn,accuracy
26,Occupation_14,0.005477855679499787,0.00747330960854083,adult_2000,nn,accuracy
27,Occupation_2,0.0,0.0,adult_2000,nn,accuracy
28,Occupation_3,0.019969596217887447,0.024555160142349795,adult_2000,nn,accuracy
29,Occupation_4,0.016810061310033927,0.01743772241992755,adult_2000,nn,accuracy
30,Occupation_5,0.004717253887981532,0.010676156583630208,adult_2000,nn,accuracy
31,Occupation_6,0.008733692918764876,0.020640569395020087,adult_2000,nn,accuracy
32,Occupation_7,0.015517562495773785,0.020640569395016926,adult_2000,nn,accuracy
33,Occupation_8,0.028501188149820635,0.04875444839857784,adult_2000,nn,accuracy
34,Occupation_9,0.0,0.0,adult_2000,nn,accuracy
35,Relationship_0,0.03669307347124815,0.010676156583630208,adult_2000,nn,accuracy
36,Relationship_1,0.019467094793979667,0.010320284697506883,adult_2000,nn,accuracy
37,Relationship_2,0.003932237520878931,0.0032028469750893787,adult_2000,nn,accuracy
38,Relationship_3,0.031885328167961496,0.02562277580071187,adult_2000,nn,accuracy
39,Relationship_4,0.06638872420455288,0.011387900355870536,adult_2000,nn,accuracy
40,Relationship_5,0.02016688027055629,0.03665480427046224,adult_2000,nn,accuracy
41,Race_0,0.000603478075563145,0.00035587188612016407,adult_2000,nn,accuracy
42,Race_1,0.001916216399007727,0.004270462633451451,adult_2000,nn,accuracy
43,Race_2,0.015615454120082086,0.006049822064057013,adult_2000,nn,accuracy
44,Race_3,0.00020117809995487434,0.00249110320284905,adult_2000,nn,accuracy
45,Race_4,0.005181814804326325,0.0032028469750893787,adult_2000,nn,accuracy
46,Sex_0,0.03349254050079427,0.0099644128113883,adult_2000,nn,accuracy
47,Sex_1,0.002178790151400992,0.022419928825620907,adult_2000,nn,accuracy
0,Age,0.04762380011425472,0.16987240525614272,adult_4000,nn,accuracy
1,Education-Num,0.022351352893600473,0.1232146257855637,adult_4000,nn,accuracy
2,Capital Gain,0.1871685095605711,0.02113883069891632,adult_4000,nn,accuracy
3,Capital Loss,0.05476515513462558,0.017710912207198243,adult_4000,nn,accuracy
4,Hours per week,0.027216452919236283,0.14778137497619642,adult_4000,nn,accuracy
5,Workclass_0,0.00950001890425789,0.015425633212721213,adult_4000,nn,accuracy
6,Workclass_1,0.0076078497226543425,0.01180727480480052,adult_4000,nn,accuracy
7,Workclass_2,0.008600139105284812,0.0028565987430950175,adult_4000,nn,accuracy
8,Workclass_4,0.03689142898334419,0.0019043991620667279,adult_4000,nn,accuracy
9,Workclass_5,0.006141926711849136,0.000952199581029981,adult_4000,nn,accuracy
10,Workclass_6,0.012180809571017425,0.0019043991620684194,adult_4000,nn,accuracy
11,Workclass_7,0.006188791369914227,0.004189678156540374,adult_4000,nn,accuracy
12,Workclass_8,0.0,1.691446238240602e-15,adult_4000,nn,accuracy
13,Marital Status_0,0.02516463602351896,0.018853551704439295,adult_4000,nn,accuracy
14,Marital Status_1,0.0,1.691446238240602e-15,adult_4000,nn,accuracy
15,Marital Status_2,0.05035645903825593,0.011807274804797136,adult_4000,nn,accuracy
16,Marital Status_3,0.0020006977204595367,0.00038087983241368386,adult_4000,nn,accuracy
17,Marital Status_4,0.0720015116319975,0.07408112740430675,adult_4000,nn,accuracy
18,Marital Status_5,0.004735252064650981,0.00019043991620768766,adult_4000,nn,accuracy
19,Marital Status_6,0.0011635339067610315,0.0032374785755103926,adult_4000,nn,accuracy
20,Occupation_0,0.007644706775702659,0.011426394972383453,adult_4000,nn,accuracy
21,Occupation_1,0.019123952550315803,0.03618358407922216,adult_4000,nn,accuracy
22,Occupation_10,0.026523817415717688,0.0011426394972393601,adult_4000,nn,accuracy
23,Occupation_11,0.0009607811726064693,1.691446238240602e-15,adult_4000,nn,accuracy
24,Occupation_12,0.0006173867399860671,0.0009521995810333639,adult_4000,nn,accuracy
25,Occupation_13,0.0023587114620836646,0.002475718910683025,adult_4000,nn,accuracy
26,Occupation_14,0.00801972376455214,0.009141115977908116,adult_4000,nn,accuracy
27,Occupation_2,0.00015503454363123114,1.691446238240602e-15,adult_4000,nn,accuracy
28,Occupation_3,0.027515156267119666,0.013330794134451871,adult_4000,nn,accuracy
29,Occupation_4,0.020403030633401636,0.02551894877166269,adult_4000,nn,accuracy
30,Occupation_5,0.010693735865977138,0.0007617596648256763,adult_4000,nn,accuracy
31,Occupation_6,0.01105733672246847,0.016377832793749502,adult_4000,nn,accuracy
32,Occupation_7,0.013285106299541893,0.000952199581029981,adult_4000,nn,accuracy
33,Occupation_8,0.016680748248988724,0.02951818701199707,adult_4000,nn,accuracy
34,Occupation_9,0.0005188124273992083,0.0005713197486179886,adult_4000,nn,accuracy
35,Relationship_0,0.03311296927845298,0.03846886307369919,adult_4000,nn,accuracy
36,Relationship_1,0.018287469911314663,0.027423347933727728,adult_4000,nn,accuracy
37,Relationship_2,0.0026042160708028943,0.0036183584079190023,adult_4000,nn,accuracy
38,Relationship_3,0.04477712739592061,0.034469624833366505,adult_4000,nn,accuracy
39,Relationship_4,0.027026987198059026,0.0055227575699874215,adult_4000,nn,accuracy
40,Relationship_5,0.018524093116181122,0.02894686726337739,adult_4000,nn,accuracy
41,Race_0,0.0037000680960624613,0.002856598743093326,adult_4000,nn,accuracy
42,Race_1,0.0008608844245461702,0.0009521995810333639,adult_4000,nn,accuracy
43,Race_2,0.017031379792859572,0.011616834888591141,adult_4000,nn,accuracy
44,Race_3,0.0010205659302054905,0.0009521995810333639,adult_4000,nn,accuracy
45,Race_4,0.017081628661785236,0.029899066844409062,adult_4000,nn,accuracy
46,Sex_0,0.04785554967274071,0.03504094458198111,adult_4000,nn,accuracy
47,Sex_1,0.020900694185322553,0.004570557988955749,adult_4000,nn,accuracy
0,Age,0.062141628828066536,0.17304421768707873,adult_8000,nn,accuracy
1,Education-Num,0.06209980542554266,0.12261904761904859,adult_8000,nn,accuracy
2,Capital Gain,0.08989122079570662,0.1069727891156501,adult_8000,nn,accuracy
3,Capital Loss,0.10345660601022891,0.011819727891157882,adult_8000,nn,accuracy
4,Hours per week,0.027866379147169395,0.11802721088435623,adult_8000,nn,accuracy
5,Workclass_0,0.00541268382938024,0.0028911564625813822,adult_8000,nn,accuracy
6,Workclass_1,0.0012841044142794316,0.0015306122448959369,adult_8000,nn,accuracy
7,Workclass_2,0.00988303097520811,0.01164965986394588,adult_8000,nn,accuracy
8,Workclass_3,0.0,3.0210150329936913e-15,adult_8000,nn,accuracy
9,Workclass_4,0.04458878552880793,0.03741496598639279,adult_8000,nn,accuracy
10,Workclass_5,0.0002978110263268807,0.0007653061224502342,adult_8000,nn,accuracy
11,Workclass_6,0.0238441977300401,0.012244897959184112,adult_8000,nn,accuracy
12,Workclass_7,0.007839697897680045,0.015476190476189498,adult_8000,nn,accuracy
13,Workclass_8,0.0,3.0210150329936913e-15,adult_8000,nn,accuracy
14,Marital Status_0,0.026332280570286987,0.01581632653061048,adult_8000,nn,accuracy
15,Marital Status_1,0.00035929703693866736,0.0005952380952367214,adult_8000,nn,accuracy
16,Marital Status_2,0.017378087216634436,0.004336734693876605,adult_8000,nn,accuracy
17,Marital Status_3,0.0021845743952838936,0.002976190476189649,adult_8000,nn,accuracy
18,Marital Status_4,0.1214980972905825,0.06641156462585264,adult_8000,nn,accuracy
19,Marital Status_5,0.003518925055119732,0.0022959183673461714,adult_8000,nn,accuracy
20,Marital Status_6,0.0029397946260888257,0.0015306122448959369,adult_8000,nn,accuracy
21,Occupation_0,0.006289917277209835,0.00782312925169924,adult_8000,nn,accuracy
22,Occupation_1,0.016519626346407093,0.021683673469390576,adult_8000,nn,accuracy
23,Occupation_10,0.013236961928979964,0.003486394557825656,adult_8000,nn,accuracy
24,Occupation_11,0.0007875800029112887,0.0005102040816344965,adult_8000,nn,accuracy
25,Occupation_12,0.0017425314329052844,0.0005952380952367214,adult_8000,nn,accuracy
26,Occupation_13,0.004165368250281412,0.002806122448979157,adult_8000,nn,accuracy
27,Occupation_14,0.012062420343012558,0.005442176870747823,adult_8000,nn,accuracy
28,Occupation_2,0.0,3.0210150329936913e-15,adult_8000,nn,accuracy
29,Occupation_3,0.018938267452516443,0.006802721088434778,adult_8000,nn,accuracy
30,Occupation_4,0.014207426371901479,0.009013605442174192,adult_8000,nn,accuracy
31,Occupation_5,0.008399875387667259,0.005442176870750844,adult_8000,nn,accuracy
32,Occupation_6,0.008905625620643952,0.0022959183673461714,adult_8000,nn,accuracy
33,Occupation_7,0.012688587583698797,0.00654761904761602,adult_8000,nn,accuracy
34,Occupation_8,0.02220061180962704,0.01581632653061048,adult_8000,nn,accuracy
35,Occupation_9,0.0004781364653874511,0.0014455782312891806,adult_8000,nn,accuracy
36,Relationship_0,0.032633891305835376,0.024149659863947237,adult_8000,nn,accuracy
37,Relationship_1,0.017932514438562856,0.013265306122447062,adult_8000,nn,accuracy
38,Relationship_2,0.00614221671444167,0.0025510204081603985,adult_8000,nn,accuracy
39,Relationship_3,0.030796764029274323,0.051700680272110354,adult_8000,nn,accuracy
40,Relationship_4,0.0020011430284330913,0.0023809523809559486,adult_8000,nn,accuracy
41,Relationship_5,0.014089906383639389,0.007568027210881991,adult_8000,nn,accuracy
42,Race_0,0.0016051225109575229,0.0032312925170053866,adult_8000,nn,accuracy
43,Race_1,0.005461765234252768,0.007142857142857273,adult_8000,nn,accuracy
44,Race_2,0.017446647828407394,0.023129251700679757,adult_8000,nn,accuracy
45,Race_3,0.0017238505677002877,8.503401360524592e-05,adult_8000,nn,accuracy
46,Race_4,0.01738858422821659,0.009438775510203444,adult_8000,nn,accuracy
47,Sex_0,0.06426222796898871,0.05561224489795771,adult_8000,nn,accuracy
48,Sex_1,0.03507542168876833,0.0016156462585042038,adult_8000,nn,accuracy
0,Age,0.06196388847912568,0.1274977977653115,adult_16000,nn,accuracy
1,Education-Num,0.0817485322328371,0.18600769623070237,adult_16000,nn,accuracy
2,Capital Gain,0.0661687974744789,0.04144837498261314,adult_16000,nn,accuracy
3,Capital Loss,0.06088460958420038,0.0026426816264054236,adult_16000,nn,accuracy
4,Hours per week,0.026799615010972323,0.039454773053918875,adult_16000,nn,accuracy
5,Workclass_0,0.008247328780421493,0.008252584728080908,adult_16000,nn,accuracy
6,Workclass_1,0.0007551757155355279,0.00046362835551243975,adult_16000,nn,accuracy
7,Workclass_2,0.012967923060505605,0.004914460568405178,adult_16000,nn,accuracy
8,Workclass_3,0.0,3.294277601001923e-15,adult_16000,nn,accuracy
9,Workclass_4,0.05082967263742653,0.035374843525431805,adult_16000,nn,accuracy
10,Workclass_5,0.0045123017542804044,0.0010199823821250614,adult_16000,nn,accuracy
11,Workclass_6,0.020511797278377993,0.01919421391812145,adult_16000,nn,accuracy
12,Workclass_7,0.009884609017166734,0.01627335527840889,adult_16000,nn,accuracy
13,Workclass_8,0.0,3.294277601001923e-15,adult_16000,nn,accuracy
14,Marital Status_0,0.028501177982297295,0.02202234688673547,adult_16000,nn,accuracy
15,Marital Status_1,4.635993474232464e-05,3.294277601001923e-15,adult_16000,nn,accuracy
