,0,1,2,3
0,iris,nn,accuracy,0.8334878309149836
1,iris,logit,accuracy,0.9633740698808304
2,iris,rf,accuracy,0.9924924432838251
3,iris,knn,accuracy,0.9730562569411134
4,iris,gbc,accuracy,0.9922193535493377
0,iris,nn,f1,0.8457810457190276
1,iris,logit,f1,0.9719381970774861
2,iris,rf,f1,0.9910785107974807
3,iris,knn,f1,0.9797237694454641
4,iris,gbc,f1,0.9889244445908315
0,iris,nn,precision,0.9019108265606668
1,iris,logit,precision,0.9893650625626009
2,iris,rf,precision,0.9980252688968952
3,iris,knn,precision,0.9981270136501688
4,iris,gbc,precision,0.9690991213277491
0,iris,nn,recall,0.8334878309149836
1,iris,logit,recall,0.9633740698808304
2,iris,rf,recall,0.9924924432838251
3,iris,knn,recall,0.9730562569411134
4,iris,gbc,recall,0.9922193535493377
0,adult,nn,accuracy,0.5088298391769903
1,adult,logit,accuracy,0.7892045654700182
2,adult,rf,accuracy,0.6339878526203454
3,adult,knn,accuracy,0.9029919741574699
4,adult,gbc,accuracy,0.6436780613040813
0,adult,nn,f1,0.49120477349833225
1,adult,logit,f1,0.558398464787608
2,adult,rf,f1,0.4946146134853573
3,adult,knn,f1,0.34162041172640145
4,adult,gbc,f1,0.7241269671636055
0,adult,nn,precision,0.48985968307760674
1,adult,logit,precision,0.538835597207502
2,adult,rf,precision,0.5011726156510304
3,adult,knn,precision,0.2560434690639819
4,adult,gbc,precision,0.7740074266314212
0,adult,nn,recall,0.4795425839390649
1,adult,logit,recall,0.8368627044717393
2,adult,rf,recall,0.5935670402121714
3,adult,knn,recall,0.9027799016713054
4,adult,gbc,recall,0.7786506293811315
0,wine,nn,accuracy,0.8603665446520748
1,wine,logit,accuracy,0.827416580845765
2,wine,rf,accuracy,0.864735472882234
3,wine,knn,accuracy,0.9362910679750476
4,wine,gbc,accuracy,0.9737329771955869
0,wine,nn,f1,0.8702957820119632
1,wine,logit,f1,0.8453218827803423
2,wine,rf,f1,0.8872436573096116
3,wine,knn,f1,0.9497697743954058
4,wine,gbc,f1,0.9605265918884517
0,wine,nn,precision,0.9118352162115761
1,wine,logit,precision,0.9357562249388539
2,wine,rf,precision,0.8985766110480655
3,wine,knn,precision,0.8801235191019571
4,wine,gbc,precision,0.9626081847228327
0,wine,nn,recall,0.8604987440164549
1,wine,logit,recall,0.82786502364235
2,wine,rf,recall,0.8646688356317492
3,wine,knn,recall,0.936308917984473
4,wine,gbc,recall,0.973398908510053
0,cancer,nn,accuracy,0.8539919069829195
1,cancer,logit,accuracy,0.8753417136246406
2,cancer,rf,accuracy,0.8001125967724485
3,cancer,knn,accuracy,0.9915120649589584
4,cancer,gbc,accuracy,0.49789806013656346
0,cancer,nn,f1,0.8635781233886237
1,cancer,logit,f1,0.8705393943304413
2,cancer,rf,f1,0.7967586973517834
3,cancer,knn,f1,0.9959138364386046
4,cancer,gbc,f1,0.49354582421006876
0,cancer,nn,precision,0.9227488772731199
1,cancer,logit,precision,0.8222156998964877
2,cancer,rf,precision,0.7213760256904366
3,cancer,knn,precision,0.9816714603048832
4,cancer,gbc,precision,0.4104607762434117
0,cancer,nn,recall,0.8536748437443138
1,cancer,logit,recall,0.8775370726027998
2,cancer,rf,recall,0.7997659689549597
3,cancer,knn,recall,0.9916965386799733
4,cancer,gbc,recall,0.49793025158195847
